open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,time
1784615760000,65962.53,65987.25,65960.57,65987.24,10.70412,1784615819999,706225.650083,2364,6.53458,431130.198649,0,1784615760
1784615820000,65987.24,65991.05,65970.0,65980.34,16.37,1784615879999,1080201.5910522,2266,12.98827,857053.1626114,0,1784615820
1784615880000,65980.34,65980.35,65938.0,65942.32,17.07087,1784615939999,1125762.7145911,2734,11.85443,781700.3101055,0,1784615880
1784615940000,65942.32,65952.01,65942.2,65952.01,9.10797,1784615999999,600635.3909035,1360,4.28478,282555.494107,0,1784615940
1784616000000,65952.01,65952.01,65929.66,65941.6,11.81802,1784616059999,779296.0729549,1555,3.3806,222899.9258504,0,1784616000
1784616060000,65941.6,65941.61,65913.4,65937.86,16.18721,1784616119999,1067180.1048125,1882,6.09787,401963.2484136,0,1784616060
1784616120000,65937.86,65950.0,65937.85,65948.21,5.75269,1784616179999,379373.4923034,800,2.48141,163635.3909293,0,1784616120
1784616180000,65948.21,65948.21,65927.36,65938.01,15.7338,1784616239999,1037400.431195,1437,3.81539,251571.3038155,0,1784616180
1784616240000,65938.01,65963.01,65938.0,65963.0,38.21324,1784616299999,2520176.2563296,1477,34.8777,2300185.9818467,0,1784616240
1784616300000,65963.0,65974.0,65939.18,65950.0,47.15333,1784616359999,3109852.5543664,4398,8.04189,530387.5471782,0,1784616300
1784616360000,65950.0,65950.01,65898.0,65898.0,6.10497,1784616419999,402438.7674265,1635,1.11699,73630.6140971,0,1784616360
1784616420000,65898.01,65898.01,65879.99,65885.12,11.72822,1784616479999,772700.7471371,1402,4.53379,298697.3934382,0,1784616420
1784616480000,65885.12,65906.43,65885.11,65906.43,8.7573,1784616539999,577038.9467355,1388,8.06897,531686.8927918,0,1784616480
1784616540000,65906.43,65924.78,65881.28,65918.59,10.38534,1784616599999,684387.1258087,3023,4.69886,309651.064056,0,1784616540
1784616600000,65918.6,65945.34,65918.59,65929.39,8.99614,1784616659999,593164.462852,2087,4.0988,270235.9010741,0,1784616600
1784616660000,65929.4,65929.4,65890.6,65890.6,5.81157,1784616719999,383012.2332972,1961,1.71038,112707.1305989,0,1784616660
1784616720000,65890.61,65904.68,65890.6,65895.24,4.49209,1784616779999,296012.4916162,1286,2.3259,153262.098647,0,1784616720
1784616780000,65895.25,65906.0,65886.89,65906.0,5.73481,1784616839999,377882.5341993,2111,3.54809,233789.9228133,0,1784616780
1784616840000,65905.99,65923.01,65905.99,65923.0,18.71579,1784616899999,1233623.5874329,1324,14.19919,935910.6149797,0,1784616840
1784616900000,65923.01,65923.01,65892.49,65897.31,17.24978,1784616959999,1136852.7129897,2959,3.1995,210861.2349103,0,1784616900
1784616960000,65897.3,65909.57,65888.0,65909.56,7.89382,1784617019999,520138.8934551,1959,5.67908,374204.2298117,0,1784616960
1784617020000,65909.56,65935.08,65909.56,65935.08,5.17494,1784617079999,341154.7588328,1573,3.30052,217581.4240638,0,1784617020
1784617080000,65935.08,65935.08,65923.33,65923.33,2.99779,1784617139999,197649.0829683,856,1.03777,68424.2653338,0,1784617080
